district_name,taluka_name,village_name,market_name,market_type,latitude,longitude
Pune,Haveli,Wagholi,Pune APMC Market Yard,Principal Market,18.4862,73.8686
Pune,Haveli,Uruli Kanchan,Uruli Kanchan Sub-Market Yard,Sub-Market,18.4790,74.0140
Pune,Baramati,Malegaon Bk,Baramati APMC Mandi,Principal Market,18.1530,74.5790
Satara,Satara,Vaduth,Satara APMC Mandi,Principal Market,17.6890,74.0120
Satara,Karad,Umbraj,Karad APMC Mandi,Principal Market,17.2890,74.1810
Sangli,Miraj,Budhgaon,Sangli APMC Turmeric & Grain Yard,Principal Market,16.8530,74.5820
Sangli,Walwa,Islampur,Islampur APMC Mandi,Principal Market,17.0540,74.2680
Kolhapur,Karveer,Gokul Shirgaon,Kolhapur Shahu Market Yard,Principal Market,16.7020,74.2430
Solapur,Pandharpur,Bhalwani,Pandharpur APMC Mandi,Principal Market,17.6790,75.3220
Solapur,Barshi,Vairag,Barshi APMC Mandi,Principal Market,17.9650,75.8390
Ahilyanagar,Rahata,Shirdi,Rahata APMC Mandi,Principal Market,19.7680,74.4790
Ahilyanagar,Sangamner,Ghumari,Sangamner APMC Mandi,Principal Market,19.5790,74.2180
Nashik,Niphad,Ozar,Pimpalgaon Baswant APMC Mandi,Principal Market,20.1710,73.9810
Nashik,Niphad,Pimpalgaon Baswant,Lasalgaon APMC Onion Mandi,Principal Market,20.1460,74.2280
Jalgaon,Raver,Khiroda,Raver APMC Banana Mandi,Principal Market,21.1920,75.9280
Dhule,Shirpur,Boradi,Shirpur APMC Mandi,Principal Market,21.3250,74.9180
Nandurbar,Shahada,Kheddigar,Shahada APMC Mandi,Principal Market,21.5480,74.4820
Chhatrapati Sambhajinagar,Paithan,Paithan,Paithan APMC Mandi,Principal Market,19.4790,75.3860
Jalna,Ambad,Ghansawangi,Jalna Grain & Seed Market Yard,Principal Market,19.8410,75.8820
Parbhani,Gangakhed,Gangakhed,Parbhani APMC Mandi,Principal Market,19.2680,76.7780
Hingoli,Kalamnuri,Kalamnuri,Hingoli APMC Mandi,Principal Market,19.7180,77.1480
Nanded,Mukhed,Mukhed,Nanded APMC Mandi,Principal Market,19.1580,77.3180
Latur,Ausa,Killari,Latur Pulse & Oilseed APMC Yard,Principal Market,18.4020,76.5820
Beed,Parli,Parli Vaijnath,Parli APMC Cotton & Grain Mandi,Principal Market,18.8520,76.5380
Dharashiv,Tuljapur,Naldurg,Dharashiv APMC Mandi,Principal Market,18.1890,76.0420
Nagpur,Hingna,Hingna,Nagpur Kalamna APMC Mandi,Principal Market,21.1690,79.1350
Wardha,Hinganghat,Hinganghat,Hinganghat APMC Cotton Yard,Principal Market,20.5580,78.8410
Buldhana,Khamgaon,Shegaon,Khamgaon APMC Cotton & Oilseed Yard,Principal Market,20.6810,76.5720
Akola,Murtizapur,Murtizapur,Akola Cotton APMC Yard,Principal Market,20.7080,77.0120
Washim,Karanja,Karanja Lad,Karanja APMC Mandi,Principal Market,20.4850,77.4920
Amravati,Achalpur,Paratwada,Achalpur APMC Mandi,Principal Market,21.2900,77.5130
Yavatmal,Pusad,Pusad,Yavatmal APMC Mandi,Principal Market,20.3950,78.1320
Chandrapur,Warora,Warora,Warora APMC Mandi,Principal Market,20.2350,79.0080
Bhandara,Sakoli,Sakoli,Bhandara APMC Paddy Yard,Principal Market,21.1720,79.6580
Gondia,Tiroda,Tiroda,Gondia APMC Grain Yard,Principal Market,21.4580,80.1980
Gadchiroli,Armori,Armori,Gadchiroli APMC Mandi,Principal Market,20.1080,79.9980
Ratnagiri,Chiplun,Khed,Ratnagiri APMC Mango Mandi,Principal Market,16.9920,73.3120
Sindhudurg,Kudal,Kudal,Kudal APMC Mandi,Principal Market,16.0180,73.6920
Raigad,Mahad,Birwadi,Mahad APMC Mandi,Principal Market,18.0920,73.4280
Palghar,Dahanu,Vangaon,Palghar APMC Mandi,Principal Market,19.6980,72.7680
Thane,Bhiwandi,Padgha,Kalyan Bhiwandi APMC Mandi,Principal Market,19.2480,73.1380
Mumbai Suburban,Kurla,Taloja Periurban,Vashi APMC Navi Mumbai,Principal Market,19.0780,73.0080
